full_name,language,stars
torvalds/linux,C,179664
genymobile/scrcpy,C,109818
netdata/netdata,C,71151
redis/redis,C,66506
ventoy/ventoy,C,60941
obsproject/obs-studio,C,59083
git/git,C,52007
ffmpeg/ffmpeg,C,45178
php/php-src,C,38019
wg/wrk,C,36091
curl/curl,C,35558
tmux/tmux,C,34849
ggerganov/whisper.cpp,C,34805
bilibili/ijkplayer,C,32330
jqlang/jq,C,30226
coolsnowwolf/lede,C,29596
pbatard/rufus,C,28504
mpv-player/mpv,C,28049
cfenollosa/os-tutorial,C,26694
nothings/stb,C,26555
openssl/openssl,C,25585
ggreer/the_silver_searcher,C,25433
pjreddie/darknet,C,25334
stedolan/jq,C,24854
nginx/nginx,C,24623
libuv/libuv,C,24022
valinet/explorerpatcher,C,23844
valdikss/goodbyedpi,C,23761
facebook/zstd,C,23427
taosdata/tdengine,C,23283
koekeishiya/yabai,C,23244
robertdavidgraham/masscan,C,23106
arendst/tasmota,C,22037
raysan5/raylib,C,21924
radareorg/radare2,C,20436
iovisor/bcc,C,20342
openwrt/openwrt,C,19845
samypesse/how-to-make-a-computer-operating-system,C,19655
micropython/micropython,C,19162
thealgorithms/c,C,18619
qmk/qmk_firmware,C,18081
allinurl/goaccess,C,18021
jart/cosmopolitan,C,18014
timescale/timescaledb,C,17605
handbrake/handbrake,C,17462
darkflippers/unleashed-firmware,C,17124
karpathy/llama2.c,C,16986
ish-app/ish,C,16941
valkey-io/valkey,C,16368
lvgl/lvgl,C,16267
postgres/postgres,C,15917
foundry376/mailspring,C,15453
woltapp/blurhash,C,15344
skywind3000/kcp,C,15064
nvidia/open-gpu-kernel-modules,C,15059
existentialaudio/blackhole,C,14593
reactos/reactos,C,14498
swaywm/sway,C,14483
sandboxie-plus/sandboxie,C,13636
ffmpegwasm/ffmpeg.wasm,C,13594
espressif/esp-idf,C,13452
memcached/memcached,C,13447
acidanthera/opencorepkg,C,13314
arut/nginx-rtmp-module,C,13256
cloudwu/skynet,C,13252
spacehuhntech/esp8266_deauther,C,13195
systemd/systemd,C,13156
davatorium/rofi,C,13117
gojue/ecapture,C,13019
s-matyukevich/raspberry-pi-os,C,12833
glfw/glfw,C,12739
alibaba/tengine,C,12732
flipperdevices/flipperzero-firmware,C,12631
openresty/openresty,C,12464
audacity/audacity,C,12322
jonas/tig,C,12284
octalmage/robotjs,C,12191
haiwen/seafile,C,12181
imagemagick/imagemagick,C,12043
twitter/twemproxy,C,11984
pgvector/pgvector,C,11936
softethervpn/softethervpn,C,11521
coturn/coturn,C,11207
libevent/libevent,C,11115
raspberrypi/linux,C,11067
cesanta/mongoose,C,11011
winsiderss/systeminformer,C,10878
freerdp/freerdp,C,10853
h2o/h2o,C,10839
openvpn/openvpn,C,10748
davegamble/cjson,C,10660
andlabs/libui,C,10641
zephyrproject-rtos/zephyr,C,10592
apple/darwin-xnu,C,10516
openzfs/zfs,C,10486
citusdata/citus,C,10410
rt-thread/rt-thread,C,10376
lz4/lz4,C,10287
doctorwkt/acwj,C,10277
fogleman/craft,C,10167
tidyverse/ggplot2,R,6477
cxli233/FriendsDontLetFriends,R,6190
rstudio/shiny,R,5355
tidyverse/dplyr,R,4753
hadley/r4ds,R,4524
swirldev/swirl_courses,R,4208
rdatatable/data.table,R,3589
twitter/AnomalyDetection,R,3529
rstudio/rmarkdown,R,2862
plotly/plotly.R,R,2544
thomasp85/patchwork,R,2450
r-lib/devtools,R,2394
satijalab/seurat,R,2260
rmcelreath/stat_rethinking_2023,R,2122
rstudio/gt,R,2013
IndrajeetPatil/ggstatsplot,R,1993
ujjwalkarn/DataScienceR,R,1963
genomicsclass/labs,R,1935
thomasp85/gganimate,R,1921
karthik/wesanderson,R,1882
szilard/benchm-ml,R,1864
rich-iannone/DiagrammeR,R,1673
rstudio/reticulate,R,1669
google/CausalImpact,R,1644
mlr-org/mlr,R,1635
tidyverse/tidyverse,R,1617
hadley/stats337,R,1616
geocompx/geocompr,R,1538
tidymodels/broom,R,1444
rstudio/plumber,R,1388
sfirke/janitor,R,1380
tidyverse/tidyr,R,1372
r-spatial/sf,R,1334
hadley/mastering-shiny,R,1307
jokergoo/ComplexHeatmap,R,1294
paul-buerkner/brms,R,1272
tidyverse/purrr,R,1256
slowkow/ggrepel,R,1210
hrbrmstr/hrbrthemes,R,1195
r-lib/lintr,R,1190
