full_name,language,stars
sagernet/sagernet,Kotlin,5590
tipsy/javalin,Kotlin,5577
drakeet/multitype,Kotlin,5514
tapadoo/alerter,Kotlin,5432
mockk/mockk,Kotlin,5393
breezy-weather/breezy-weather,Kotlin,5384
kotlin/kotlinx.serialization,Kotlin,5361
androidx/androidx,Kotlin,5288
mikepenz/android-iconics,Kotlin,5167
android/camera-samples,Kotlin,4965
aniyomiorg/aniyomi,Kotlin,4874
ashinch/readyou,Kotlin,4847
agrosner/dbflow,Kotlin,4840
muzei/muzei,Kotlin,4687
ReVanced/revanced-patches-template,Kotlin,4585
intellij-rust/intellij-rust,Kotlin,4525
kunzisoft/keepassdx,Kotlin,4491
kotest/kotest,Kotlin,4415
libchecker/libchecker,Kotlin,4370
android/user-interface-samples,Kotlin,4367
public-apis/public-apis,Python,313186
donnemartin/system-design-primer,Python,266337
vinta/awesome-python,Python,215354
thealgorithms/python,Python,184669
Significant-Gravitas/AutoGPT,Python,167100
Significant-Gravitas/Auto-GPT,Python,147780
AUTOMATIC1111/stable-diffusion-webui,Python,139273
huggingface/transformers,Python,132754
ytdl-org/youtube-dl,Python,130804
nvbn/thefuck,Python,83795
yt-dlp/yt-dlp,Python,83649
pytorch/pytorch,Python,82171
django/django,Python,79411
tensorflow/models,Python,76984
fastapi/fastapi,Python,76145
tiangolo/fastapi,Python,73934
home-assistant/core,Python,71824
openai/whisper,Python,68243
pallets/flask,Python,67433
binary-husky/gpt_academic,Python,64368
3b1b/manim,Python,62676
python/cpython,Python,62594
ansible/ansible,Python,62469
keras-team/keras,Python,61682
xtekky/gpt4free,Python,60146
swisskyrepo/payloadsallthethings,Python,60007
d2l-ai/d2l-zh,Python,59909
scikit-learn/scikit-learn,Python,59580
sherlock-project/sherlock,Python,56533
abi/screenshot-to-code,Python,56326
localstack/localstack,Python,55628
meta-llama/llama,Python,55105
zylon-ai/private-gpt,Python,53709
labmlai/annotated_deep_learning_paper_implementations,Python,53140
ageitgey/face_recognition,Python,52664
OpenInterpreter/open-interpreter,Python,52345
scrapy/scrapy,Python,52331
comfyanonymous/ComfyUI,Python,52111
psf/requests,Python,52039
gpt-engineer-org/gpt-engineer,Python,51974
corentinj/real-time-voice-cloning,Python,51846
facebookresearch/llama,Python,50936
deepfakes/faceswap,Python,50116
ultralytics/yolov5,Python,49858
soimort/you-get,Python,49797
imartinez/privateGPT,Python,49719
commaai/openpilot,Python,49590
xai-org/grok-1,Python,49389
textualize/rich,Python,49044
charlax/professional-programming,Python,46477
minimaxir/big-list-of-naughty-strings,Python,45841
geekan/MetaGPT,Python,43954
iperov/deepfacelab,Python,43902
z4nzu/hackingtool,Python,43737
pandas-dev/pandas,Python,43392
AntonOsika/gpt-engineer,Python,42998
paddlepaddle/paddleocr,Python,42927
KillianLucas/open-interpreter,Python,42157
isocpp/cppcoreguidelines,Python,41478
thudm/chatglm-6b,Python,39892
oobabooga/text-generation-webui,Python,39799
lllyasviel/Fooocus,Python,39507
psf/black,Python,38684
hpcaitech/colossalai,Python,38683
getsentry/sentry,Python,38673
stability-ai/stablediffusion,Python,38533
odoo/odoo,Python,37720
google-research/bert,Python,37546
mingrammer/diagrams,Python,37320
hacksider/Deep-Live-Cam,Python,37220
chubin/cheat.sh,Python,36730
LAION-AI/Open-Assistant,Python,36709
lm-sys/FastChat,Python,36543
apache/airflow,Python,36495
QuivrHQ/quivr,Python,36122
mitmproxy/mitmproxy,Python,36118
run-llama/llama_index,Python,35785
karpathy/nanogpt,Python,35752
satwikkansal/wtfpython,Python,35293
xingangpan/draggan,Python,35242
tencentarc/gfpgan,Python,35180
microsoft/deepspeed,Python,34925
streamlit/streamlit,Python,34846
babysor/mockingbird,Python,34824
moymix/TaskMatrix,Python,34395
microsoft/taskmatrix,Python,34020
openai/gym,Python,33912
hankcs/hanlp,Python,33446
lc044/wechatmsg,Python,33275
RVC-Boss/GPT-SoVITS,Python,33243
ray-project/ray,Python,33235
httpie/cli,Python,33174
fxsjy/jieba,Python,32984
coqui-ai/tts,Python,32739
ccxt/ccxt,Python,32614
gradio-app/gradio,Python,32441
All-Hands-AI/OpenHands,Python,32246
sqlmapproject/sqlmap,Python,32059
willmcgugan/rich,Python,31979
hiyouga/LLaMA-Factory,Python,31658
microsoft/powertoys,C#,110140
shadowsocks/shadowsocks-windows,C#,58218
powershell/powershell,C#,44718
dotnet/aspnetcore,C#,35279
ryujinx/ryujinx,C#,34935
files-community/files,C#,34034
jellyfin/jellyfin,C#,33765
sharex/sharex,C#,29168
DevToys-app/DevToys,C#,26851
avaloniaui/avalonia,C#,25389
nickemanarin/screentogif,C#,23432
mxgmn/wavefunctioncollapse,C#,22844
dotnet/maui,C#,22033
microsoft/semantic-kernel,C#,21525
veler/devtoys,C#,21026
leiurayer/downkyi,C#,20315
beyonddimension/steamtools,C#,19917
dotnet/roslyn,C#,18951
dapperlib/dapper,C#,17360
unity-technologies/ml-agents,C#,16984
