full_name,language,stars
avelino/awesome-go,Go,129721
golang/go,Go,123195
kubernetes/kubernetes,Go,110160
ollama/ollama,Go,91621
fatedier/frp,Go,84166
gin-gonic/gin,Go,78113
gohugoio/hugo,Go,75018
moby/moby,Go,68526
syncthing/syncthing,Go,64253
junegunn/fzf,Go,64215
caddyserver/caddy,Go,57373
prometheus/prometheus,Go,55077
nektos/act,Go,54270
jesseduffield/lazygit,Go,51198
traefik/traefik,Go,50577
etcd-io/etcd,Go,47505
filosottile/mkcert,Go,47358
ethereum/go-ethereum,Go,47286
minio/minio,Go,47013
rclone/rclone,Go,46427
v2ray/v2ray-core,Go,45242
gogs/gogs,Go,44816
wagoodman/dive,Go,44644
go-gitea/gitea,Go,44362
astaxie/build-web-application-with-golang,Go,42963
alist-org/alist,Go,42446
hashicorp/terraform,Go,42425
pocketbase/pocketbase,Go,39244
evanw/esbuild,Go,37959
spf13/cobra,Go,37335
coreybutler/nvm-windows,Go,37128
pingcap/tidb,Go,36989
cli/cli,Go,36850
go-gorm/gorm,Go,36653
jesseduffield/lazydocker,Go,35835
istio/istio,Go,35789
photoprism/photoprism,Go,34867
docker/compose,Go,33707
gofiber/fiber,Go,33367
halfrost/leetcode-go,Go,32324
harness/harness,Go,32146
jmorganca/ollama,Go,32145
harness/gitness,Go,32139
beego/beego,Go,31453
hashicorp/vault,Go,30966
usememos/memos,Go,30469
cockroachdb/cockroach,Go,29958
milvus-io/milvus,Go,29689
ehang-io/nps,Go,29448
kubernetes/minikube,Go,29257
labstack/echo,Go,29247
v2fly/v2ray-core,Go,29067
zeromicro/go-zero,Go,28944
hashicorp/consul,Go,28275
k3s-io/k3s,Go,27739
schollz/croc,Go,27702
harness/drone,Go,27214
iawia002/lux,Go,27194
charmbracelet/bubbletea,Go,27084
spf13/viper,Go,26912
helm/helm,Go,26833
derailed/k9s,Go,26710
go-kit/kit,Go,26338
filebrowser/filebrowser,Go,26146
restic/restic,Go,25938
kataras/iris,Go,25180
grafana/k6,Go,25168
icewhaletech/casaos,Go,25022
openfaas/faas,Go,25008
zyedidia/micro,Go,24916
adguardteam/adguardhome,Go,24814
nsqio/nsq,Go,24766
fyne-io/fyne,Go,24756
wailsapp/wails,Go,24698
xtls/xray-core,Go,24605
sirupsen/logrus,Go,24330
tmrts/go-patterns,Go,24226
drone/drone,Go,24176
mattermost/mattermost-server,Go,24144
dapr/dapr,Go,23888
goharbor/harbor,Go,23804
grafana/loki,Go,23476
tsenart/vegeta,Go,23384
danielmiessler/fabric,Go,23311
containers/podman,Go,23299
rancher/rancher,Go,23286
go-kratos/kratos,Go,23137
stretchr/testify,Go,23130
aquasecurity/trivy,Go,23037
go-delve/delve,Go,22830
gocolly/colly,Go,22743
opentofu/opentofu,Go,22685
mislav/hub,Go,22636
juanfont/headscale,Go,22458
seaweedfs/seaweedfs,Go,22432
github/hub,Go,22382
urfave/cli,Go,22121
quii/learn-go-with-tests,Go,21991
gorilla/websocket,Go,21838
valyala/fasthttp,Go,21687
rails/rails,Ruby,55763
jekyll/jekyll,Ruby,48981
mastodon/mastodon,Ruby,46868
huginn/huginn,Ruby,42994
discourse/discourse,Ruby,41965
homebrew/brew,Ruby,40972
fastlane/fastlane,Ruby,39470
freecodecamp/devdocs,Ruby,35049
rapid7/metasploit-framework,Ruby,33870
maybe-finance/maybe,Ruby,30367
hashicorp/vagrant,Ruby,26204
matteocrippa/awesome-swift,Ruby,24765
tootsuite/mastodon,Ruby,24408
heartcombo/devise,Ruby,23870
gitlabhq/gitlabhq,Ruby,23743
ruby/ruby,Ruby,21973
forem/forem,Ruby,21928
homebrew/homebrew-cask,Ruby,20864
chatwoot/chatwoot,Ruby,20670
postalserver/postal,Ruby,14711
cocoapods/cocoapods,Ruby,14548
elastic/logstash,Ruby,14196
gollum/gollum,Ruby,13752
Homebrew/homebrew-core,Ruby,13587
diaspora/diaspora,Ruby,13375
spree/spree,Ruby,12880
fluent/fluentd,Ruby,12857
twbs/bootstrap-sass,Ruby,12736
tmuxinator/tmuxinator,Ruby,12693
capistrano/capistrano,Ruby,12668
rubocop/rubocop,Ruby,12609
mperham/sidekiq,Ruby,12298
sinatra/sinatra,Ruby,12145
github-linguist/linguist,Ruby,12145
faker-ruby/faker,Ruby,11229
jordansissel/fpm,Ruby,11135
shopify/liquid,Ruby,11046
github/linguist,Ruby,10923
postalhq/postal,Ruby,10605
basecamp/kamal,Ruby,10513
