full_name,language,stars
teamcapybara/capybara,Ruby,9986
ruby-grape/grape,Ruby,9881
activeadmin/activeadmin,Ruby,9478
resque/resque,Ruby,9415
opf/openproject,Ruby,9202
thoughtbot/paperclip,Ruby,9061
javan/whenever,Ruby,8785
freecodecamp/how-to-contribute-to-open-source,Ruby,8734
kaminari/kaminari,Ruby,8556
wpscanteam/wpscan,Ruby,8490
varvet/pundit,Ruby,8238
heartcombo/simple_form,Ruby,8205
ankane/pghero,Ruby,8038
thoughtbot/factory_bot,Ruby,7906
railsadminteam/rails_admin,Ruby,7882
omniauth/omniauth,Ruby,7874
puma/puma,Ruby,7666
chef/chef,Ruby,7588
sferik/rails_admin,Ruby,7531
puppetlabs/puppet,Ruby,7403
github/scientist,Ruby,7368
github-changelog-generator/github-changelog-generator,Ruby,7363
realm/jazzy,Ruby,7337
flyerhzm/bullet,Ruby,7066
middleman/middleman,Ruby,7045
presidentbeef/brakeman,Ruby,6967
skwp/dotfiles,Ruby,6944
bettererrors/better_errors,Ruby,6868
pry/pry,Ruby,6763
paper-trail-gem/paper_trail,Ruby,6759
bkeepers/dotenv,Ruby,6578
ankane/searchkick,Ruby,6523
chyingp/nodejs-learning-guide,Ruby,6498
kkuchta/css-only-chat,Ruby,6443
ryanb/cancan,Ruby,6321
alexreisner/geocoder,Ruby,6312
ankane/chartkick,Ruby,6309
guard/guard,Ruby,6241
hanami/hanami,Ruby,6216
docusealco/docuseal,Ruby,6215
mrsked/mrsk,Ruby,6209
sj26/mailcatcher,Ruby,6197
norman/friendly_id,Ruby,6073
venmo/synx,Ruby,6056
ddollar/foreman,Ruby,6010
github/markup,Ruby,5844
vcr/vcr,Ruby,5815
jnunemaker/httparty,Ruby,5784
lostisland/faraday,Ruby,5727
mislav/will_paginate,Ruby,5703
ruby-concurrency/concurrent-ruby,Ruby,5672
square/maximum-awesome,Ruby,5668
activerecord-hackery/ransack,Ruby,5634
instructure/canvas-lms,Ruby,5575
cancancommunity/cancancan,Ruby,5565
felixonmars/dnsmasq-china-list,Ruby,5514
rack/rack-attack,Ruby,5510
danger/danger,Ruby,5439
sferik/t-ruby,Ruby,5429
sferik/t,Ruby,5423
TadasBaltrusaitis/OpenFace,MATLAB,6665
AaronJackson/vrn,MATLAB,4515
rasmusbergpalm/DeepLearnToolbox,MATLAB,3763
kpzhang93/MTCNN_face_detection_alignment,MATLAB,2789
googollee/eviltransform,MATLAB,2357
rbgirshick/rcnn,MATLAB,2339
zk00006/OpenTLD,MATLAB,2093
zhoubolei/CAM,MATLAB,1808
matlab2tikz/matlab2tikz,MATLAB,1492
ecmadao/Coding-Guide,MATLAB,1450
torrvision/crfasrnn,MATLAB,1335
brendenlake/omniglot,MATLAB,1326
petercorke/robotics-toolbox-matlab,MATLAB,1197
scottclowe/matlab-schemer,MATLAB,1166
Borye/machine-learning-coursera-1,MATLAB,1129
fieldtrip/fieldtrip,MATLAB,838
schneems/Octave,MATLAB,823
pdollar/edges,MATLAB,814
piermorel/gramm,MATLAB,772
benfulcher/hctsa,MATLAB,726
cs-chan/Total-Text-Dataset,MATLAB,720
kyamagu/mexopencv,MATLAB,655
