full_name,language,stars
microsoft/winget-cli,C++,23049
redisinsight/redisdesktopmanager,C++,22803
notepad-plus-plus/notepad-plus-plus,C++,22690
paddlepaddle/paddle,C++,22115
osquery/osquery,C++,21760
sqlitebrowser/sqlitebrowser,C++,21060
keepassxreboot/keepassxc,C++,20934
uglide/redisdesktopmanager,C++,20924
typesense/typesense,C++,20720
apache/mxnet,C++,20655
fmtlib/fmt,C++,20546
tencent/ncnn,C++,20183
apache/incubator-mxnet,C++,20133
LadybirdBrowser/ladybird,C++,19963
hyprwm/hyprland,C++,19950
aristocratos/btop,C++,19760
Mozilla-Ocho/llamafile,C++,19420
freecad/freecad,C++,19330
simdjson/simdjson,C++,19207
trojan-gfw/trojan,C++,18757
ssloy/tinyrenderer,C++,18593
lizardbyte/sunshine,C++,18492
catchorg/catch2,C++,18478
xbmc/xbmc,C++,18303
barry-ran/qtscrcpy,C++,18302
alibaba/weex,C++,18221
facebook/hhvm,C++,18140
google/filament,C++,17692
scottbez1/smartknob,C++,17418
microsoft/cntk,C++,17332
tencent/mmkv,C++,17285
unetworking/uwebsockets,C++,17266
tencent/mars,C++,17266
facebook/yoga,C++,17247
qv2ray/qv2ray,C++,16613
ml-explore/mlx,C++,16613
microsoft/lightgbm,C++,16563
google/libphonenumber,C++,16516
apache/brpc,C++,16403
electronicarts/cnc_remastered_collection,C++,16392
danielmiessler/seclists,PHP,57218
coollabsio/coolify,PHP,32290
laravel/framework,PHP,32272
blueimp/jquery-file-upload,PHP,31029
symfony/symfony,PHP,29670
composer/composer,PHP,28551
nextcloud/server,PHP,26897
fzaninotto/faker,PHP,26788
guzzle/guzzle,PHP,23052
livewire/livewire,PHP,22270
designpatternsphp/designpatternsphp,PHP,21757
monicahq/monica,PHP,21386
phpmailer/phpmailer,PHP,20967
seldaek/monolog,PHP,20921
matomo-org/matomo,PHP,19722
sebastianbergmann/phpunit,PHP,19672
bcit-ci/codeigniter,PHP,18268
filamentphp/filament,PHP,18150
barryvdh/laravel-debugbar,PHP,17142
nikic/php-parser,PHP,16995
briannesbitt/carbon,PHP,16537
koel/koel,PHP,15907
flarum/flarum,PHP,15280
bookstackapp/bookstack,PHP,15001
erusev/parsedown,PHP,14735
bagisto/bagisto,PHP,14649
getgrav/grav,PHP,14430
yiisoft/yii2,PHP,14237
barryvdh/laravel-ide-helper,PHP,14149
cachethq/cachet,PHP,13983
intervention/image,PHP,13876
thephpleague/flysystem,PHP,13327
phpoffice/phpspreadsheet,PHP,13297
filp/whoops,PHP,13176
phpstan/phpstan,PHP,12854
php-cs-fixer/php-cs-fixer,PHP,12816
roots/sage,PHP,12711
ramsey/uuid,PHP,12448
phacility/phabricator,PHP,12323
spartnernl/laravel-excel,PHP,12209
piotrplenik/clean-code-php,PHP,12140
spatie/laravel-permission,PHP,12058
librespeed/speedtest,PHP,12018
slimphp/slim,PHP,11948
thedevdojo/voyager,PHP,11770
the-control-group/voyager,PHP,11495
magento/magento2,PHP,11491
friendsofphp/php-cs-fixer,PHP,11476
egulias/emailvalidator,PHP,11411
phpoffice/phpexcel,PHP,11409
jupeter/clean-code-php,PHP,11393
typecho/typecho,PHP,11310
docker/labs,PHP,11303
doctrine/inflector,PHP,11245
tymondesigns/jwt-auth,PHP,11196
walkor/workerman,PHP,11116
z-song/laravel-admin,PHP,11101
snipe/snipe-it,PHP,10915
phalcon/cphalcon,PHP,10775
mockery/mockery,PHP,10618
yourls/yourls,PHP,10606
squizlabs/php_codesniffer,PHP,10591
deployphp/deployer,PHP,10535
serbanghita/mobile-detect,PHP,10507
dompdf/dompdf,PHP,10429
php-fig/log,PHP,10371
wallabag/wallabag,PHP,10185
digininja/dvwa,PHP,10065
doctrine/orm,PHP,9923
php-fig/container,PHP,9834
bobthecow/psysh,PHP,9722
symfony/console,PHP,9721
tennc/webshell,PHP,9701
freshrss/freshrss,PHP,9562
swiftmailer/swiftmailer,PHP,9482
pestphp/pest,PHP,9464
doctrine/dbal,PHP,9430
anankke/sspanel-uim,PHP,9371
dingo/api,PHP,9263
googleapis/google-api-php-client,PHP,9253
phpdocumentor/typeresolver,PHP,9118
assimon/dujiaoka,PHP,9065
phpdocumentor/reflectioncommon,PHP,9003
sebastianbergmann/php-code-coverage,PHP,8802
myclabs/deepcopy,PHP,8692
cakephp/cakephp,PHP,8677
phpspec/prophecy,PHP,8527
uvdesk/community-skeleton,PHP,8440
krayin/laravel-crm,PHP,8431
kanboard/kanboard,PHP,8419
owncloud/core,PHP,8357
invoiceninja/invoiceninja,PHP,8150
twigphp/twig,PHP,8142
prestashop/prestashop,PHP,8110
php-fig/simple-cache,PHP,8040
akaunting/akaunting,PHP,7973
sylius/sylius,PHP,7858
doctrine/cache,PHP,7824
top-think/think,PHP,7816
crater-invoice/crater,PHP,7669
