full_name,language,stars
jeecgboot/jeecg-boot,Java,38243
philjay/mpandroidchart,Java,37492
eugenp/tutorials,Java,36538
alibaba/arthas,Java,35445
termux/termux-app,Java,35101
airbnb/lottie-android,Java,34976
bumptech/glide,Java,34594
halo-dev/halo,Java,33443
netty/netty,Java,33340
blankj/androidutilcode,Java,32965
zxing/zxing,Java,32694
xkcoding/spring-boot-demo,Java,32591
alibaba/easyexcel,Java,31981
teamnewpipe/newpipe,Java,31135
doocs/leetcode,Java,31102
seleniumhq/selenium,Java,30410
alibaba/nacos,Java,30106
apolloconfig/apollo,Java,29083
apache/kafka,Java,28488
alibaba/canal,Java,28341
alibaba/druid,Java,27910
wuyouzhuguli/springall,Java,27885
alibaba/spring-cloud-alibaba,Java,27843
xuxueli/xxl-job,Java,27201
crossoverjie/jcsprout,Java,27068
yunaiv/ruoyi-vue-pro,Java,26949
alibaba/fastjson,Java,25692
jakewharton/butterknife,Java,25638
ctripcorp/apollo,Java,25284
apache/incubator-seata,Java,25249
proxyee-down-org/proxyee-down,Java,24954
drklo/telegram,Java,24749
scwang90/smartrefreshlayout,Java,24675
greenrobot/eventbus,Java,24553
seata/seata,Java,24430
apache/flink,Java,23886
apache/skywalking,Java,23747
zhangdaiscott/jeecg-boot,Java,23378
google/gson,Java,23295
redisson/redisson,Java,23241
libgdx/libgdx,Java,23206
bazelbuild/bazel,Java,23039
jenkinsci/jenkins,Java,23038
keycloak/keycloak,Java,22546
anuken/mindustry,Java,22432
alibaba/sentinel,Java,22324
doocs/source-code-hunter,Java,22025
google/exoplayer,Java,21660
openapitools/openapi-generator,Java,21426
elunez/eladmin,Java,21203
apache/rocketmq,Java,21126
oracle/graal,Java,20278
carguo/gsyvideoplayer,Java,20051
ibotpeaches/apktool,Java,19955
didi/dokit,Java,19889
brettwooldridge/hikaricp,Java,19883
apache/shardingsphere,Java,19823
mybatis/mybatis-3,Java,19719
openjdk/jdk,Java,19497
linlinjava/litemall,Java,19106
didi/doraemonkit,Java,18723
dianping/cat,Java,18551
baseflow/photoview,Java,18156
conductor-oss/conductor,Java,17767
dataease/dataease,Java,17526
chrisbanes/photoview,Java,17410
lmax-exchange/disruptor,Java,17357
thingsboard/thingsboard,Java,17328
tencent/tinker,Java,17146
tencent/apijson,Java,17145
JetBrains/intellij-community,Java,17127
facebook/fresco,Java,17072
antlr/antlr4,Java,16987
williamfiset/algorithms,Java,16943
nostra13/android-universal-image-loader,Java,16785
infinilabs/analysis-ik,Java,16508
shuzheng/zheng,Java,16405
baomidou/mybatis-plus,Java,16318
material-components/material-components-android,Java,16309
winterbe/java8-tutorial,Java,16281
tensorflow/tensorflow,C++,185777
facebook/react-native,C++,118460
electron/electron,C++,113821
microsoft/terminal,C++,95119
godotengine/godot,C++,89708
bitcoin/bitcoin,C++,78569
opencv/opencv,C++,78344
nomic-ai/gpt4all,C++,69695
swiftlang/swift,C++,67376
apple/swift,C++,66494
ggerganov/llama.cpp,C++,65648
protocolbuffers/protobuf,C++,65344
tesseract-ocr/tesseract,C++,61046
ocornut/imgui,C++,59857
topjohnwu/magisk,C++,47425
x64dbg/x64dbg,C++,44299
werwolv/imhex,C++,43361
nlohmann/json,C++,42121
grpc/grpc,C++,41693
clickhouse/clickhouse,C++,36945
google/leveldb,C++,35997
google/googletest,C++,34512
aria2/aria2,C++,34397
bvlc/caffe,C++,33994
huihut/interview,C++,32576
carbon-language/carbon-lang,C++,32246
zhongyang219/trafficmonitor,C++,31663
facebookresearch/faiss,C++,30737
cmu-perceptual-computing-lab/openpose,C++,30554
serenityos/serenity,C++,30464
thealgorithms/c-plus-plus,C++,30176
microsoft/calculator,C++,29586
ariya/phantomjs,C++,29085
facebook/rocksdb,C++,28369
facebook/folly,C++,28245
qbittorrent/qbittorrent,C++,27365
google-ai-edge/mediapipe,C++,26950
rethinkdb/rethinkdb,C++,26480
llvm/llvm-project,C++,26379
mongodb/mongo,C++,26147
dmlc/xgboost,C++,26140
telegramdesktop/tdesktop,C++,26001
cmderdev/cmder,C++,25853
emscripten-core/emscripten,C++,25673
google/mediapipe,C++,25571
dragonflydb/dragonfly,C++,25451
ossrs/srs,C++,25437
taichi-dev/taichi,C++,25344
apolloauto/apollo,C++,25042
mozilla/deepspeech,C++,25013
envoyproxy/envoy,C++,24796
flameshot-org/flameshot,C++,24474
valvesoftware/proton,C++,24106
gabime/spdlog,C++,23976
mudler/LocalAI,C++,23679
changkun/modern-cpp-tutorial,C++,23653
v8/v8,C++,23253
google/flatbuffers,C++,23157
duckdb/duckdb,C++,23134
ethereum/solidity,C++,23129
