full_name,language,stars
wch/r-source,R,1135
swirldev/swirl,R,1090
easystats/easystats,R,1083
ddsjoberg/gtsummary,R,1044
thomasp85/ggraph,R,1037
BlakeRMills/MetBrewer,R,1035
easystats/performance,R,1013
rstudio/renv,R,1003
tidyverse/readr,R,1000
rstudio/tinytex,R,980
tidyverse/magrittr,R,952
sparklyr/sparklyr,R,948
mlr-org/mlr3,R,931
ropensci/targets,R,920
thomasp85/ggforce,R,901
ThinkR-open/golem,R,901
MichelNivard/gptstudio,R,892
r-lib/testthat,R,886
MilesMcBain/datapasta,R,883
easystats/see,R,883
rstudio/pagedown,R,882
johnmyleswhite/BanditsBook,R,880
allisonhorst/palmerpenguins,R,875
hadley/r-pkgs,R,872
rstudio/pointblank,R,863
r-lib/usethis,R,857
google/rappor,R,855
business-science/tidyquant,R,850
dselivanov/text2vec,R,847
quanteda/quanteda,R,839
dreamRs/shinyWidgets,R,826
klmr/box,R,824
mjskay/ggdist,R,812
joshuaulrich/quantmod,R,783
ramnathv/htmlwidgets,R,775
grabear/awesome-rshiny,R,773
TheAlgorithms/R,R,771
tidymodels/tidymodels,R,755
gadenbuie/tidyexplain,R,742
hms-dbmi/UpSetR,R,738
tidyverse/lubridate,R,724
tidymodels/infer,R,723
r-lib/styler,R,720
r-lib/pkgdown,R,715
rstudio/ggvis,R,712
rstudio/learnr,R,709
DavisVaughan/furrr,R,691
gkaramanis/tidytuesday,R,684
haozhu233/kableExtra,R,680
r-spatial/rgee,R,673
tidyverse/tibble,R,669
tidyverse/dtplyr,R,661
dgrtwo/fuzzyjoin,R,658
rstudio/RStartHere,R,657
hrbrmstr/ggalt,R,652
r-lib/cli,R,644
wilkelab/ggtext,R,643
amplab-extras/SparkR-pkg,R,642
njtierney/naniar,R,640
walkerke/tidycensus,R,640
square/okhttp,Kotlin,45754
android/architecture-samples,Kotlin,44371
shadowsocks/shadowsocks-android,Kotlin,34948
alibaba/p3c,Kotlin,30308
square/leakcanary,Kotlin,29297
gedoor/legado,Kotlin,28653
signalapp/signal-android,Kotlin,25511
cymchad/baserecyclerviewadapterhelper,Kotlin,24186
android/architecture-components-samples,Kotlin,23119
google/iosched,Kotlin,21724
android/compose-samples,Kotlin,19932
afollestad/material-dialogs,Kotlin,19522
square/picasso,Kotlin,18711
google/flexbox-layout,Kotlin,17859
android/sunflower,Kotlin,17613
lottie-react-native/lottie-react-native,Kotlin,16681
android/nowinandroid,Kotlin,16616
nickbutcher/plaid,Kotlin,16244
jetbrains/compose-multiplatform,Kotlin,16004
kotlin/anko,Kotlin,15878
android/plaid,Kotlin,15845
mamoe/mirai,Kotlin,14355
android/uamp,Kotlin,13016
kotlin/kotlinx.coroutines,Kotlin,12976
ktorio/ktor,Kotlin,12852
mikepenz/materialdrawer,Kotlin,11669
wasabeef/recyclerview-animators,Kotlin,11375
junkfood02/seal,Kotlin,10913
appintro/appintro,Kotlin,10518
jakewharton/timber,Kotlin,10389
thunderbird/thunderbird-android,Kotlin,10227
matsuridayo/nekoboxforandroid,Kotlin,10169
shabinder/spotiflyer,Kotlin,10076
tiann/kernelsu,Kotlin,9903
square/moshi,Kotlin,9725
rikkaapps/shizuku,Kotlin,9708
jakewharton/rxbinding,Kotlin,9698
mihonapp/mihon,Kotlin,9576
jetbrains/compose-jb,Kotlin,9489
yujincheng08/biliroaming,Kotlin,9412
jetbrains/ideavim,Kotlin,9180
insertkoinio/koin,Kotlin,8971
firebase/quickstart-android,Kotlin,8847
square/okio,Kotlin,8766
ethereum-lists/chains,Kotlin,8697
libre-tube/libretube,Kotlin,8561
ankidroid/anki-android,Kotlin,8479
yairm210/unciv,Kotlin,8390
thundernest/k-9,Kotlin,8288
jetbrains/exposed,Kotlin,8276
vfsfitvnm/vimusic,Kotlin,8193
chrisbanes/cheesesquare,Kotlin,7810
skydoves/pokedex,Kotlin,7775
uber/ribs,Kotlin,7721
facebook/litho,Kotlin,7693
isoron/uhabits,Kotlin,7634
javalin/javalin,Kotlin,7536
google/accompanist,Kotlin,7392
skydoves/android-developer-roadmap,Kotlin,7261
teamvanced/vancedmanager,Kotlin,6986
reactivex/rxkotlin,Kotlin,6982
ytvanced/vancedmanager,Kotlin,6919
chrisbanes/tivi,Kotlin,6603
recloudstream/cloudstream,Kotlin,6594
sourcerer-io/sourcerer-app,Kotlin,6527
igorwojda/android-showcase,Kotlin,6483
bitwarden/android,Kotlin,6326
acra/acra,Kotlin,6299
detekt/detekt,Kotlin,6235
pinterest/ktlint,Kotlin,6192
arrow-kt/arrow,Kotlin,6159
cashapp/sqldelight,Kotlin,6147
facebook/facebook-android-sdk,Kotlin,6135
gurupreet/composecookbook,Kotlin,6053
florisboard/florisboard,Kotlin,5942
dbacinski/design-patterns-in-kotlin,Kotlin,5864
zhanghai/materialfiles,Kotlin,5815
airbnb/mavericks,Kotlin,5815
kickstarter/android-oss,Kotlin,5748
mobile-dev-inc/maestro,Kotlin,5723
