full_name,language,stars
gidariss/LocNet,MATLAB,177
RobertKrajewski/highD-dataset,MATLAB,172
ltfat/ltfat,MATLAB,171
LabForComputationalVision/matlabPyrTools,MATLAB,170
cortex-lab/KiloSort,MATLAB,166
gpstuff-dev/gpstuff,MATLAB,165
pulseq/pulseq,MATLAB,164
maestro-project/maestro,MATLAB,161
594422814/UDT,MATLAB,158
JeffFessler/mirt,MATLAB,156
qMRLab/qMRLab,MATLAB,155
hennyjie/braingb,MATLAB,153
gnu-octave/symbolic,MATLAB,151
rdeits/iris-distro,MATLAB,149
canlab/CanlabCore,MATLAB,149
donnydcy/LC_NGSIM,MATLAB,146
jramshur/HRVAS,MATLAB,145
WEC-Sim/WEC-Sim,MATLAB,145
singaxiong/SignalGraph,MATLAB,144
bbci/bbci_public,MATLAB,140
rust-lang/rust,Rust,97316
denoland/deno,Rust,94582
tauri-apps/tauri,Rust,82565
fuellabs/sway,Rust,62755
fuellabs/fuel-core,Rust,58149
alacritty/alacritty,Rust,55864
rust-lang/rustlings,Rust,53009
sharkdp/bat,Rust,49028
burntsushi/ripgrep,Rust,47910
zed-industries/zed,Rust,47905
meilisearch/meilisearch,Rust,46753
starship/starship,Rust,44480
fuellabs/fuels-rs,Rust,44218
dani-garcia/vaultwarden,Rust,37342
bevyengine/bevy,Rust,35497
lapce/lapce,Rust,34305
sharkdp/fd,Rust,33599
helix-editor/helix,Rust,33158
typst/typst,Rust,33029
nushell/nushell,Rust,31858
astral-sh/ruff,Rust,31505
swc-project/swc,Rust,31006
pola-rs/polars,Rust,29558
tw93/pake,Rust,29051
influxdata/influxdb,Rust,28719
servo/servo,Rust,28034
yewstack/yew,Rust,27831
google/comprehensive-rust,Rust,27635
surrealdb/surrealdb,Rust,27106
tokio-rs/tokio,Rust,26586
vercel/turborepo,Rust,26119
fish-shell/fish-shell,Rust,25844
vercel/turbo,Rust,25769
firecracker-microvm/firecracker,Rust,25381
iced-rs/iced,Rust,24382
rome/tools,Rust,24316
rwf2/Rocket,Rust,24114
ogham/exa,Rust,23569
dandavison/delta,Rust,22704
thealgorithms/rust,Rust,22232
ajeetdsouza/zoxide,Rust,21988
emilk/egui,Rust,21917
sergiobenitez/rocket,Rust,21521
actix/actix-web,Rust,21438
astral-sh/uv,Rust,21391
sharkdp/hyperfine,Rust,21370
tabbyml/tabby,Rust,21333
cloudflare/pingora,Rust,21324
zellij-org/zellij,Rust,20941
wilfred/difftastic,Rust,20596
casey/just,Rust,20583
dioxuslabs/dioxus,Rust,20452
atuinsh/atuin,Rust,20349
qdrant/qdrant,Rust,20017
xi-editor/xi-editor,Rust,19794
valeriansaliou/sonic,Rust,19708
qarmin/czkawka,Rust,19570
rustpython/rustpython,Rust,18991
wasmerio/wasmer,Rust,18539
ankitects/anki,Rust,18472
facebook/relay,Rust,18391
extrawurst/gitui,Rust,18327
tree-sitter/tree-sitter,Rust,18214
gyulyvgc/sniffnet,Rust,17921
rust-lang/mdbook,Rust,17806
cube-js/cube,Rust,17796
schniz/fnm,Rust,17716
gleam-lang/gleam,Rust,17617
uutils/coreutils,Rust,17607
vectordotdev/vector,Rust,17587
HigherOrderCO/bend,Rust,17245
slint-ui/slint,Rust,17095
wez/wezterm,Rust,16992
diem/diem,Rust,16699
rigellute/spotify-tui,Rust,16492
leptos-rs/leptos,Rust,15965
ruffle-rs/ruffle,Rust,15521
huggingface/candle,Rust,15355
bytecodealliance/wasmtime,Rust,15212
sxyazi/yazi,Rust,15181
tikv/tikv,Rust,15083
rust-lang/book,Rust,15007
0x192/universal-android-debloater,Rust,14945
denisidoro/navi,Rust,14893
chroma-core/chroma,Rust,14781
kitao/pyxel,Rust,14640
cube-js/cube.js,Rust,14582
biomejs/biome,Rust,14556
neondatabase/neon,Rust,14538
hyperium/hyper,Rust,14388
rustscan/rustscan,Rust,14280
fathyb/carbonyl,Rust,14256
clap-rs/clap,Rust,14137
rust-lang/rust-analyzer,Rust,14133
asciinema/asciinema,Rust,13961
astral-sh/rye,Rust,13628
getzola/zola,Rust,13522
lsd-rs/lsd,Rust,13256
analysis-tools-dev/static-analysis,Rust,13229
lemmynet/lemmy,Rust,13177
snailclimb/javaguide,Java,146164
growinggit/github-chinese-top-charts,Java,99390
krahets/hello-algo,Java,95988
iluwatar/java-design-patterns,Java,89459
macrozheng/mall,Java,77291
doocs/advanced-java,Java,75755
spring-projects/spring-boot,Java,74720
elastic/elasticsearch,Java,69683
kdn251/interviews,Java,61871
thealgorithms/java,Java,58903
spring-projects/spring-framework,Java,56330
nationalsecurityagency/ghidra,Java,50896
google/guava,Java,50070
Stirling-Tools/Stirling-PDF,Java,43156
kon9chunkit/github-chinese-top-charts,Java,42891
square/retrofit,Java,42532
skylot/jadx,Java,41128
apache/dubbo,Java,40411
jeecgboot/JeecgBoot,Java,40161
dbeaver/dbeaver,Java,39461
